P-value,Liczba,Test,n
0.2576512716644368,sqrt2,monobit,3000
0.4878189913676967,sqrt2,monobit,3000
0.09301910456066897,sqrt2,monobit,3000
0.941782503847368,sqrt2,monobit,3000
0.2576512716644368,sqrt2,monobit,3000
0.2576512716644368,sqrt2,monobit,3000
0.2426153026580753,sqrt2,monobit,3000
0.7982567374169431,sqrt2,monobit,3000
0.3424244469216555,sqrt2,monobit,3000
0.7424326978058251,sqrt2,monobit,3000
0.5347626571414008,sqrt2,monobit,3000
0.8265807014393571,sqrt2,monobit,3000
0.400997398900623,sqrt2,monobit,3000
0.6092056132701684,sqrt2,monobit,3000
0.2896315338632989,sqrt2,monobit,3000
0.010587137334056917,sqrt2,monobit,3000
0.6879319044428245,sqrt2,monobit,3000
0.16526990723277724,sqrt2,monobit,3000
0.2426153026580753,sqrt2,monobit,3000
0.0735782616358549,sqrt2,monobit,3000
0.4878189913676967,sqrt2,monobit,3000
0.6350058912972967,sqrt2,monobit,3000
0.20124262095772405,sqrt2,monobit,3000
0.4652088184521417,sqrt2,monobit,3000
0.7982567374169431,sqrt2,monobit,3000
0.941782503847368,sqrt2,monobit,3000
0.9708718482506147,sqrt2,monobit,3000
0.8838745372567065,sqrt2,monobit,3000
0.5347626571414008,sqrt2,monobit,3000
0.1081305453115029,sqrt2,monobit,3000
0.8265807014393571,sqrt2,monobit,3000
0.7982567374169431,sqrt2,monobit,3000
0.7982567374169431,sqrt2,monobit,3000
0.361310428526179,sqrt2,monobit,3000
0.2896315338632989,sqrt2,monobit,3000
0.7701958714564099,sqrt2,monobit,3000
0.8551321405847059,sqrt2,monobit,3000
0.4878189913676967,sqrt2,monobit,3000
0.361310428526179,sqrt2,monobit,3000
0.941782503847368,sqrt2,monobit,3000
0.8265807014393571,sqrt2,monobit,3000
0.22820730654462995,sqrt2,monobit,3000
0.20124262095772405,sqrt2,monobit,3000
0.6612572218537376,sqrt2,monobit,3000
0.5110092070684837,sqrt2,monobit,3000
0.8551321405847059,sqrt2,monobit,3000
0.17667974480966864,sqrt2,monobit,3000
0.30658431555590826,sqrt2,monobit,3000
0.13436507422576982,sqrt2,monobit,3000
0.0735782616358549,sqrt2,monobit,3000
0.361310428526179,sqrt2,monobit,3000
