P-value,Test,Generator,n
0.9767259304855863,poker,Ziff,1000
0.9644783232690741,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.9630302978004646,KS,RC,1000
0.013589421444658578,Chi,RC,1000
0.38398816339805664,Furier,RC,1000
0.47620112270861625,KS,Ziff,1000
0.6360023747696613,Chi,Ziff,1000
0.5616577150130424,Furier,Ziff,1000
0.2604469785820651,KS,Marsagli,1000
0.3547732920532507,Chi,Marsagli,1000
0.38398816339805664,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.997740673751511,poker,RC,1000
0.6975746165954975,poker,Ziff,1000
0.9644783232690741,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
6.4824731015052594e-09,Furier,GLCG,1000
0.9993169144791665,KS,RC,1000
0.037764420151969236,Chi,RC,1000
1.0,Furier,RC,1000
0.961184563519207,KS,Ziff,1000
0.06567023174979192,Chi,Ziff,1000
0.04222117524716241,Furier,Ziff,1000
0.11527966565170267,KS,Marsagli,1000
0.9482105023871502,Chi,Marsagli,1000
0.146793087308571,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.9779847690261629,poker,RC,1000
0.742088251428605,poker,Ziff,1000
0.9767259304855863,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.9957044519506736,KS,RC,1000
0.011724025843829922,Chi,RC,1000
0.7716705035436164,Furier,RC,1000
0.2865542557105918,KS,Ziff,1000
0.23321515740616217,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.861488747946529,KS,Marsagli,1000
0.29455563881794133,Chi,Marsagli,1000
0.5616577150130424,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.03431794095834195,poker,RC,1000
0.9767259304855863,poker,Ziff,1000
0.9767259304855863,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.8430295351894984,KS,RC,1000
0.847086528792468,Chi,RC,1000
1.0,Furier,RC,1000
0.5224443371575634,KS,Ziff,1000
0.5437029924084407,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.5791481324522644,KS,Marsagli,1000
0.40285723664822215,Chi,Marsagli,1000
1.0,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.8172566190531708,poker,RC,1000
0.9999946943818305,poker,Ziff,1000
0.9999946943818305,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.9991222337891823,KS,RC,1000
0.0482287684295698,Chi,RC,1000
0.7716705035436164,Furier,RC,1000
0.41680483625493103,KS,Ziff,1000
0.6825903036604516,Chi,Ziff,1000
1.0,Furier,Ziff,1000
0.24237718656154028,KS,Marsagli,1000
0.8588254689980247,Chi,Marsagli,1000
0.04222117524716241,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.8746924716801887,poker,RC,1000
0.9644783232690741,poker,Ziff,1000
0.742088251428605,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.8255251526039826,KS,RC,1000
0.3533529336008755,Chi,RC,1000
0.38398816339805664,Furier,RC,1000
0.924078959842216,KS,Ziff,1000
0.016316629497232005,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.6598990039763848,KS,Marsagli,1000
0.5041931035219795,Chi,Marsagli,1000
0.24573870033984926,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.8113409208301393,poker,RC,1000
0.9999946943818305,poker,Ziff,1000
0.9999946943818305,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.9777246763941413,KS,RC,1000
0.01814939381656311,Chi,RC,1000
0.38398816339805664,Furier,RC,1000
0.9848566469724922,KS,Ziff,1000
0.06287316232834816,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.8909421788220312,KS,Marsagli,1000
0.2452034419226954,Chi,Marsagli,1000
0.38398816339805664,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.7422185470356966,poker,RC,1000
0.9644783232690741,poker,Ziff,1000
0.9767259304855863,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.9963666891844388,KS,RC,1000
0.11311379293068669,Chi,RC,1000
0.146793087308571,Furier,RC,1000
0.08895270549252454,KS,Ziff,1000
0.5195639257595841,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.37004032564893363,KS,Marsagli,1000
0.5561533210490364,Chi,Marsagli,1000
0.24573870033984926,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.0427612852977709,poker,RC,1000
0.9999946943818305,poker,Ziff,1000
0.9767259304855863,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.8193595760495395,KS,RC,1000
0.9000452856569184,Chi,RC,1000
0.7716705035436164,Furier,RC,1000
0.7854912958233438,KS,Ziff,1000
0.44305585649965806,Chi,Ziff,1000
0.0037090099909748053,Furier,Ziff,1000
0.7613160166268678,KS,Marsagli,1000
0.47813181007235706,Chi,Marsagli,1000
0.38398816339805664,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.9964086046935396,poker,RC,1000
0.9999946943818305,poker,Ziff,1000
0.9644783232690741,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.9677043643983713,KS,RC,1000
0.5878117148214304,Chi,RC,1000
0.5616577150130424,Furier,RC,1000
0.30967823096420255,KS,Ziff,1000
0.6048470761392089,Chi,Ziff,1000
0.04222117524716241,Furier,Ziff,1000
0.6366780502325927,KS,Marsagli,1000
0.4728280720842182,Chi,Marsagli,1000
0.7716705035436164,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.9906058816326961,poker,RC,1000
0.9999946943818305,poker,Ziff,1000
0.9767259304855863,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.9497641710028887,KS,RC,1000
0.4238852289970958,Chi,RC,1000
0.7716705035436164,Furier,RC,1000
0.5748700516211902,KS,Ziff,1000
0.1269242551465516,Chi,Ziff,1000
1.0,Furier,Ziff,1000
0.04272538142721638,KS,Marsagli,1000
0.9902404525809934,Chi,Marsagli,1000
0.24573870033984926,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.7191864624024863,poker,RC,1000
0.9767259304855863,poker,Ziff,1000
0.742088251428605,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
1.101233148433138e-09,Furier,GLCG,1000
0.9979542386561073,KS,RC,1000
0.004683964430063137,Chi,RC,1000
0.5616577150130424,Furier,RC,1000
0.7661171813600107,KS,Ziff,1000
0.21273604097242005,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.6782290368152297,KS,Marsagli,1000
0.1320632718989132,Chi,Marsagli,1000
0.7716705035436164,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.9271555221251077,poker,RC,1000
0.9767259304855863,poker,Ziff,1000
0.9999946943818305,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.7716705035436164,Furier,GLCG,1000
0.9755203133795687,KS,RC,1000
0.04451622547164191,Chi,RC,1000
0.146793087308571,Furier,RC,1000
0.015357116777642954,KS,Ziff,1000
0.965440647947307,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.008968100353958675,KS,Marsagli,1000
0.9715249981124939,Chi,Marsagli,1000
0.7716705035436164,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.006500576281775028,poker,RC,1000
0.9644783232690741,poker,Ziff,1000
0.9767259304855863,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.7716705035436164,Furier,GLCG,1000
0.9646501766131391,KS,RC,1000
0.07539403241815046,Chi,RC,1000
0.38398816339805664,Furier,RC,1000
0.06660062881082585,KS,Ziff,1000
0.5758315478497247,Chi,Ziff,1000
0.38398816339805664,Furier,Ziff,1000
0.565516693312514,KS,Marsagli,1000
0.8709138296418055,Chi,Marsagli,1000
0.38398816339805664,Furier,Marsagli,1000
0.0,poker,GLCG,1000
6.4779139830051236e-09,poker,RC,1000
